"plotID","site","treatment","year","acerpe","acerru","acersa","actapa","allipe_1","allipe_2","allipe_total","aristr","berbth","betual","careap","carela","caresp","carpca","caryco","dennpu","dryoca","erytam","euonal","eurydi","fraxam","galiap","galitr","impaca","maiaca","maiara","onocse","ostrvi","partqu","polyac","polybi","prunse","querru","ranuab","ribela","rubual","solicae","tiliam","toxira","violsp","nativeShannon","totalNativeStem","Fern","Forb","Grass","NonNative","Woody","mass"
"2017-Spr-HF-I-1","HF","Invaded",2017,0,0,12,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,15,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1.33165431090082,68,0,29,0,15,39,3.01
"2017-Spr-HF-I-2","HF","Invaded",2017,0,1,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,14,2,0,0,0,0,0,0,0,1.52731964997864,42,0,20,0,2,22,3.78
"2017-Spr-HF-I-3","HF","Invaded",2017,0,0,8,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1.36173386335134,41,0,14,0,5,27,6.14
"2017-Spr-HF-P-1","HF","Eradicated",2017,0,1,6,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,137,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0.411064601919628,151,0,138,0,18,13,0.8
"2017-Spr-HF-P-2","HF","Eradicated",2017,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,0,0,0,0,6,3,0,0,0,0,0,0,0,1.48738647430804,39,0,24,0,1,15,2.05
"2017-Spr-HF-P-3","HF","Eradicated",2017,0,0,5,0,4,0,4,4,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,2,9,0,0,0,0,0,0,0,1,1.90597496652152,27,0,10,0,5,17,4.34
"2017-Spr-HF-U-1","HF","Control",2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,9,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1.39288143321133,21,0,11,0,15,10,3
"2017-Spr-HF-U-2","HF","Control",2017,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,1,7,0,0,0,2,72,0,0,0,0,0,0,0,0,0.880918395931345,90,9,6,0,3,75,5.44
"2017-Spr-HF-U-3","HF","Control",2017,0,1,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,19,2,0,0,0,0,0,2,0,0,0,1,8,2,0,0,0,0,0,13,0,1.85305586381917,59,2,22,0,7,35,1.56
"2017-Spr-MC-I-1","MC","Invaded",2017,0,0,18,0,106,1,107,6,0,0,0,0,0,0,2,0,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0,53,1,0,0,5,0,0,0,0,1.43861749819143,112,0,6,0,107,106,6.37
"2017-Spr-MC-I-2","MC","Invaded",2017,0,1,34,0,41,2,43,0,0,1,7,3,0,0,5,0,0,0,0,0,31,0,0,0,0,0,0,0,3,0,0,6,0,0,0,5,0,0,0,0,1.7163498384356,96,0,0,10,43,86,5.29
"2017-Spr-MC-I-3","MC","Invaded",2017,0,0,16,0,26,0,26,20,0,0,0,0,0,0,0,0,0,74,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.973731391410175,113,0,94,0,26,19,9.53
"2017-Spr-MC-P-1","MC","Eradicated",2017,0,0,4,0,124,8,132,1,0,1,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0,2,2,0,0,0,1.96154989104937,27,3,3,0,132,21,4.02
"2017-Spr-MC-P-2","MC","Eradicated",2017,0,0,7,0,24,0,24,19,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,1,0,3,0,4,2,0,0,0,1.82090113275549,44,0,28,0,24,16,3.4
"2017-Spr-MC-P-3","MC","Eradicated",2017,0,1,9,0,0,0,0,8,0,0,0,0,0,0,1,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,1.80111427930225,42,0,25,0,0,17,2.74
"2017-Spr-MC-U-1","MC","Control",2017,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,847,0,0,27,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.24308986699551,890,0,847,0,0,43,0.43
"2017-Spr-MC-U-2","MC","Control",2017,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.52295506753132,9,0,2,3,0,4,1.59
"2017-Spr-MC-U-3","MC","Control",2017,0,2,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,105,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.493066113849464,117,0,106,0,0,11,1.11
